A0A0H2VW18:['porin activity', 'ion transmembrane transport','colicin transmembrane transporter activity']
Q8XDF1:['porin activity', 'ion transmembrane transport']
A0A240USH5:['porin activity', 'ion transmembrane transport']
A0A418YCG9:['porin activity', 'ion transmembrane transport']
E8LI87:['porin activity', 'ion transmembrane transport']
W7PYU0:['porin activity', 'ion transmembrane transport']
A0A1I7HX01:['porin activity', 'ion transmembrane transport']
A0A3A6R1F6:['porin activity', 'ion transmembrane transport']
A0A1M7FLD6:['porin activity', 'ion transmembrane transport']
A0A0X8HBN5:['porin activity', 'ion transmembrane transport']
R8ANP9:['porin activity', 'ion transmembrane transport']
E6KX33:['porin activity', 'ion transmembrane transport']
A9MMI2:['porin activity', 'ion transmembrane transport']
A0A4R4GZN0:['porin activity', 'ion transmembrane transport']
A0A2P8K7E3:['porin activity', 'ion transmembrane transport']
A0A2N0WX12:['porin activity', 'ion transmembrane transport']
A0A1E5E2Q4:['porin activity', 'ion transmembrane transport']
A0A243T3P6:['porin activity', 'ion transmembrane transport']
Q32G25:['porin activity', 'ion transmembrane transport']
A0A1S2DC96:['porin activity', 'ion transmembrane transport']
A0A198FM64:['porin activity', 'ion transmembrane transport']
A0A1C7HGK1:['porin activity', 'ion transmembrane transport']
A0A3T1DGX8:['porin activity', 'ion transmembrane transport']
E1SW81:['porin activity', 'ion transmembrane transport']
D6Z0T4:['porin activity', 'ion transmembrane transport']
A0A1K1V7B4:['porin activity', 'ion transmembrane transport']
A0A1G7N244:['porin activity', 'ion transmembrane transport']
A0A317NSZ6:['porin activity', 'ion transmembrane transport']
A0A1S2TZD6:['porin activity', 'ion transmembrane transport']
A0A090SR17:['porin activity', 'ion transmembrane transport']
A0A1P8R1G1:['porin activity', 'ion transmembrane transport']
A6W1E2:['porin activity', 'ion transmembrane transport']
A0A1H6QS81:['porin activity', 'ion transmembrane transport']
A0A1T4WQA8:['porin activity', 'ion transmembrane transport']
W1N7M3:['porin activity', 'ion transmembrane transport']
U4KCZ8:['porin activity', 'ion transmembrane transport']
A0A1J0VDG4:['porin activity', 'ion transmembrane transport']
A0A090PVA1:['porin activity', 'ion transmembrane transport']
A0A2G0QD05:['porin activity', 'ion transmembrane transport']
A0A0G4JWY3:['porin activity', 'ion transmembrane transport']
A0A0N9VFA4:['porin activity', 'ion transmembrane transport']
D0YZX9:['porin activity', 'ion transmembrane transport']
Q8ECS2:['porin activity', 'ion transmembrane transport']
S6AS02:['porin activity', 'ion transmembrane transport']
A0A368N0Q5:['porin activity', 'ion transmembrane transport']
A0A0U1Q3Y3:['porin activity', 'ion transmembrane transport']
Q8EJZ4:['porin activity', 'ion transmembrane transport']
A0A0M2KJT7:['porin activity', 'ion transmembrane transport']
A0A1I4RNA4:['porin activity', 'ion transmembrane transport']
A0A078LUT6:['porin activity', 'ion transmembrane transport']
A8AMT5:['porin activity', 'ion transmembrane transport']
A0A447M703:['porin activity', 'ion transmembrane transport']
Q12M17:['porin activity', 'ion transmembrane transport']
A8H7Z3:['porin activity', 'ion transmembrane transport']
A0A0U2ZNM6:['porin activity', 'ion transmembrane transport']
A0A2X4TC75:['porin activity', 'ion transmembrane transport']
A0A4R6TX49:['porin activity', 'ion transmembrane transport']
A0A4V3BR56:['porin activity', 'ion transmembrane transport']
A0A0T6VTR8:['porin activity', 'ion transmembrane transport']
A0A1S8DGZ7:['porin activity', 'ion transmembrane transport']
A0A0B3C3K0:['porin activity', 'ion transmembrane transport']
A0A368U5R4:['porin activity', 'ion transmembrane transport']
L0E1M2:['porin activity', 'ion transmembrane transport']
A0A0M0HT10:['porin activity', 'ion transmembrane transport']
A0A3B7PUR1:['porin activity', 'ion transmembrane transport']
U4K3L8:['porin activity', 'ion transmembrane transport']
D3V0Z4:['porin activity', 'ion transmembrane transport']
A0A2J6MTP1:['porin activity', 'ion transmembrane transport']
A0A090R9N0:['porin activity', 'ion transmembrane transport']
A0A411PKU5:['porin activity', 'ion transmembrane transport']
A8FTK6:['porin activity', 'ion transmembrane transport']
G4E6E4:['porin activity', 'ion transmembrane transport']
F4GQM5:['porin activity', 'ion transmembrane transport']
A0A4P7JHS5:['porin activity', 'ion transmembrane transport']
A0A1S2TXN4:['porin activity', 'ion transmembrane transport']
A0A160FQ25:['porin activity', 'ion transmembrane transport']
A1SAY2:['porin activity', 'ion transmembrane transport']
W8KLC5:['porin activity', 'ion transmembrane transport']
A0A031MAT1:['porin activity', 'ion transmembrane transport']
A0A432W4F1:['porin activity', 'ion transmembrane transport']
A0A2S7UYI3:['porin activity', 'ion transmembrane transport']
S2KH25:['porin activity', 'ion transmembrane transport']
A9MRQ8:['porin activity', 'ion transmembrane transport']
A0A4V2PCM9:['porin activity', 'ion transmembrane transport']
F4GML1:['porin activity', 'ion transmembrane transport']
